date,foreign_net,foreign_net_cumsum
2025-05-07,16095,16095
2025-05-08,-2189,13906
2025-05-09,-4678,9228
2025-05-12,12730,21958
2025-05-13,2843,24801
2025-05-14,15775,40576
2025-05-15,-1030,39546
2025-05-16,-4256,35290
2025-05-19,-7558,27732
2025-05-20,300,28032
2025-05-21,6720,34752
2025-05-22,-12854,21898
2025-05-23,2716,24614
2025-05-26,7614,32228
2025-05-27,353,32581
2025-05-28,18579,51160
2025-05-29,16033,67193
2025-05-30,-15756,51437
2025-06-02,-7745,43692
2025-06-04,41891,85583
2025-06-05,7516,93099
2025-06-09,21462,114561
2025-06-10,460,115021
2025-06-11,3465,118486
2025-06-12,7475,125961
2025-06-13,-17940,108021
2025-06-16,-1125,106896
2025-06-17,-11909,94987
2025-06-18,9336,104323
2025-06-19,-4755,99568
2025-06-20,5535,105103
2025-06-23,-12043,93060
2025-06-24,25917,118977
2025-06-25,-709,118268
2025-06-26,-20176,98092
2025-06-27,-24973,73119
2025-06-30,-6621,66498
2025-07-01,33069,99567
2025-07-02,-16426,83141
2025-07-03,15426,98567
2025-07-04,-8270,90297
2025-07-07,-4199,86098
2025-07-08,40881,126979
2025-07-09,9730,136709
2025-07-10,7653,144362
2025-07-11,3293,147655
2025-07-14,5415,153070
2025-07-15,-872,152198
2025-07-16,-10766,141432
2025-07-17,5158,146590
2025-07-18,7490,154080
2025-07-21,12564,166644
2025-07-22,-11184,155460
2025-07-23,1728,157188
2025-07-24,-2002,155186
2025-07-25,3799,158985
2025-07-28,7662,166647
2025-07-29,9422,176069
2025-07-30,9944,186013
2025-07-31,-854,185159
2025-08-01,-12057,173102
2025-08-04,13636,186738
2025-08-05,3172,189910
2025-08-06,13268,203178
2025-08-07,2796,205974
2025-08-08,5462,211436
2025-08-11,4134,215570
2025-08-12,1621,217191
2025-08-13,6301,223492
2025-08-14,4609,228101
2025-08-18,-2121,225980
2025-08-19,-1526,224454
2025-08-20,-3079,221375
2025-08-21,6594,227969
2025-08-22,724,228693
2025-08-25,3361,232054
2025-08-26,-18153,213901
2025-08-27,-7670,206231
2025-08-28,-594,205637
2025-08-29,-13955,191682
2025-09-01,-5817,185865
2025-09-02,-596,185269
2025-09-03,5133,190402
2025-09-04,7920,198322
2025-09-05,-5133,193189
2025-09-08,7896,201085
2025-09-09,2443,203528
2025-09-10,23574,227102
2025-09-11,4322,231424
2025-09-12,18074,249498
2025-09-15,6074,255572
2025-09-16,13082,268654
2025-09-17,-1292,267362
2025-09-18,6376,273738
2025-09-19,-8574,265164
2025-09-22,14991,280155
2025-09-23,2111,282266
2025-09-24,-4599,277667
2025-09-25,589,278256
2025-09-26,-6101,272155
2025-09-29,8954,281109
2025-09-30,-3298,277811
2025-10-01,1544,279355
2025-10-02,44749,324104
2025-10-10,15125,339229
2025-10-13,3150,342379
2025-10-14,1903,344282
2025-10-15,17281,361563
2025-10-16,7497,369060
2025-10-17,1251,370311
2025-10-20,5871,376182
2025-10-21,-432,375750
2025-10-22,850,376600
2025-10-23,-4702,371898
2025-10-24,8784,380682
2025-10-27,20385,401067
2025-10-28,-10032,391035
2025-10-29,-9039,381996
2025-10-30,-14046,367950
2025-10-31,11618,379568
2025-11-03,-6239,373329
2025-11-04,-3999,369330
